name,level,mechanic,equipment,primary_muscles,secondary_muscles,instructions,category,images,tag,priority
Bankdrücken Langhantel,Fortgeschritten,Grundübung,Langhantel,"[""Pectoralis major""]","[""Trizeps"", ""Deltoideus anterior""]","[""Lege dich auf die Bank und greife die Langhantel etwas breiter als schulterbreit."", ""Senke die Langhantel kontrolliert bis zur Brust ab."", ""Drücke die Langhantel explosiv nach oben, bis die Arme gestreckt sind."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""mittlere"", ""push""]",1
Bankdrücken Kurzhantel,Fortgeschritten,Grundübung,Kurzhanteln,"[""Pectoralis major""]","[""Trizeps"", ""Deltoideus anterior""]","[""Lege dich auf die Bank und halte in jeder Hand eine Kurzhantel."", ""Senke die Kurzhanteln kontrolliert bis zur Brust ab."", ""Drücke die Kurzhanteln explosiv nach oben, bis die Arme gestreckt sind."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""mittlere"", ""push""]",2
Brustpresse,Anfänger,Grundübung,Brustpresse-Maschine,"[""Pectoralis major""]","[""Trizeps"", ""Deltoideus anterior""]","[""Setze dich an die Brustpresse und greife die Griffe."", ""Drücke die Griffe nach vorne, bis die Arme gestreckt sind."", ""Lasse die Griffe kontrolliert wieder zurück in die Ausgangsposition."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""mittlere"", ""push""]",3
Bankdrücken Multipresse,Fortgeschritten,Grundübung,Smith-Maschine,"[""Pectoralis major""]","[""Trizeps"", ""Deltoideus anterior""]","[""Lege dich auf die Bank in der Smith-Maschine und greife die Stange etwas breiter als schulterbreit."", ""Senke die Stange kontrolliert bis zur Brust ab."", ""Drücke die Stange explosiv nach oben, bis die Arme gestreckt sind."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""mittlere"", ""push""]",4
Schrägbankdrücken Langhantel,Fortgeschritten,Grundübung,Langhantel,"[""Pectoralis major (obere Fasern)""]","[""Trizeps"", ""Deltoideus anterior""]","[""Lege dich auf eine Schrägbank und greife die Langhantel etwas breiter als schulterbreit."", ""Senke die Langhantel kontrolliert bis zur oberen Brust ab."", ""Drücke die Langhantel explosiv nach oben, bis die Arme gestreckt sind."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""obere"", ""push""]",1
Schrägbankdrücken Kurzhantel,Fortgeschritten,Grundübung,Kurzhanteln,"[""Pectoralis major (obere Fasern)""]","[""Trizeps"", ""Deltoideus anterior""]","[""Lege dich auf eine Schrägbank und halte in jeder Hand eine Kurzhantel."", ""Senke die Kurzhanteln kontrolliert bis zur oberen Brust ab."", ""Drücke die Kurzhanteln explosiv nach oben, bis die Arme gestreckt sind."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""obere"", ""push""]",2
Schrägbankdrücken Multipresse,Anfänger,Grundübung,Smith-Maschine,"[""Pectoralis major (obere Fasern)""]","[""Trizeps"", ""Deltoideus anterior""]","[""Lege dich auf eine Schrägbank in der Smith-Maschine und greife die Stange etwas breiter als schulterbreit."", ""Senke die Stange kontrolliert bis zur oberen Brust ab."", ""Drücke die Stange explosiv nach oben, bis die Arme gestreckt sind."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""obere"", ""push""]",3
Schrägbankdrücken Gerät,Anfänger,Grundübung,Schrägbankdrücken-Gerät,"[""Pectoralis major (obere Fasern)""]","[""Trizeps"", ""Deltoideus anterior""]","[""Setze dich auf das Schrägbankdrücken-Gerät und greife die Griffe."", ""Drücke die Griffe nach oben, bis die Arme gestreckt sind."", ""Senke die Griffe langsam wieder auf Schulterhöhe ab.""]","[""Brust""]",[],"[""brust"", ""obere"", ""push""]",4
Dips,Fortgeschritten,Grundübung,Dip-Stangen,"[""Pectoralis major"", ""Trizeps""]","[""Deltoideus anterior""]","[""Stütze dich auf den Dip-Stangen ab und strecke die Arme."", ""Senke deinen Körper kontrolliert ab, bis die Arme einen 90-Grad-Winkel bilden."", ""Drücke dich wieder nach oben, bis die Arme gestreckt sind."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""untere"", ""push""]",1
Bankdrücken negativ Langhantel,Fortgeschritten,Grundübung,Langhantel,"[""Pectoralis major (untere Fasern)""]","[""Trizeps"", ""Deltoideus anterior""]","[""Lege dich auf eine negative Bank und greife die Langhantel etwas breiter als schulterbreit."", ""Senke die Langhantel kontrolliert bis zur unteren Brust ab."", ""Drücke die Langhantel explosiv nach oben, bis die Arme gestreckt sind."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""untere"", ""push""]",2
Bankdrücken negativ Kurzhantel,Fortgeschritten,Grundübung,Kurzhanteln,"[""Pectoralis major (untere Fasern)""]","[""Trizeps"", ""Deltoideus anterior""]","[""Lege dich auf eine negative Bank und halte in jeder Hand eine Kurzhantel."", ""Senke die Kurzhanteln kontrolliert bis zur unteren Brust ab."", ""Drücke die Kurzhanteln explosiv nach oben, bis die Arme gestreckt sind."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""untere"", ""push""]",3
Bankdrücken negativ Gerät,Anfänger,Grundübung,Negativ-Bankdrücken-Gerät,"[""Pectoralis major (untere Fasern)""]","[""Trizeps"", ""Deltoideus anterior""]","[""Setze dich auf das Negativ-Bankdrücken-Gerät und greife die Griffe."", ""Drücke die Griffe nach oben, bis die Arme gestreckt sind."", ""Senke die Griffe langsam wieder auf Brusthöhe ab.""]","[""Brust""]",[],"[""brust"", ""untere"", ""push""]",4
Butterfly,Anfänger,Isolation,Butterfly-Maschine,"[""Pectoralis major""]",[],"[""Setze dich an die Butterfly-Maschine und greife die Griffe."", ""Führe die Griffe kontrolliert vor deiner Brust zusammen."", ""Lasse die Griffe langsam wieder in die Ausgangsposition zurückkehren."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""mittlere"", ""abduktion""]",1
Butterfly Kabelzug,Fortgeschritten,Isolation,Kabelzugmaschine,"[""Pectoralis major""]",[],"[""Stelle dich in die Mitte einer Kabelzugmaschine und greife die Griffe."", ""Führe die Griffe vor deiner Brust zusammen, die Arme leicht gebeugt."", ""Lasse die Griffe langsam wieder in die Ausgangsposition zurückkehren.""]","[""Brust""]",[],"[""brust"", ""mittlere"", ""abduktion""]",2
Butterfly Kurzhantel,Fortgeschritten,Isolation,Kurzhanteln,"[""Pectoralis major""]",[],"[""Lege dich auf die Bank und halte in jeder Hand eine Kurzhantel."", ""Senke die Kurzhanteln kontrolliert zur Seite ab, die Arme leicht gebeugt."", ""Bringe die Kurzhanteln wieder zusammen über deiner Brust."", ""Während der Ausführung ein leichtes Hohlkreuz halten.""]","[""Brust""]",[],"[""brust"", ""mittlere"", ""abduktion""]",3
Kabelzug fliegende (hoch),Anfänger,Isolation,Kabelzugmaschine,"[""Pectoralis major (obere Fasern)""]",[],"[""Stelle dich in die Mitte einer Kabelzugmaschine und greife die Griffe oben."", ""Führe die Griffe vor deiner oberen Brust zusammen, die Arme leicht gebeugt."", ""Lasse die Griffe langsam wieder in die Ausgangsposition zurückkehren.""]","[""Brust""]",[],"[""brust"", ""obere"", ""abduktion""]",1
Kabelzug fliegende (unten),Anfänger,Isolation,Kabelzugmaschine,"[""Pectoralis major (untere Fasern)""]",[],"[""Stelle dich in die Mitte einer Kabelzugmaschine und greife die Griffe unten."", ""Führe die Griffe vor deiner unteren Brust zusammen, die Arme leicht gebeugt."", ""Lasse die Griffe langsam wieder in die Ausgangsposition zurückkehren.""]","[""Brust""]",[],"[""brust"", ""untere"", ""abduktion""]",1
Latzug Breit,Anfänger,Grundübung,Latzugmaschine,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Setze dich an die Latzugmaschine und greife die Stange mit einem breiten Griff."", ""Ziehe die Stange zu deinem oberen Brustbereich."", ""Lasse die Stange langsam wieder nach oben gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""vertikal"", ""wide""]",1
Klimmzug Breit,Fortgeschritten,Grundübung,Klimmzugstange,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Greife die Klimmzugstange mit einem breiten Griff."", ""Ziehe deinen Körper hoch, bis dein Kinn über der Stange ist."", ""Senke deinen Körper langsam wieder ab, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""vertikal"", ""wide""]",2
Latzug Eng,Anfänger,Grundübung,Latzugmaschine,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Setze dich an die Latzugmaschine und greife die Stange mit einem engen Griff."", ""Ziehe die Stange zu deinem oberen Brustbereich."", ""Lasse die Stange langsam wieder nach oben gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""vertikal"", ""close""]",1
Klimmzug Eng,Fortgeschritten,Grundübung,Klimmzugstange,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Greife die Klimmzugstange mit einem engen Griff."", ""Ziehe deinen Körper hoch, bis dein Kinn über der Stange ist."", ""Senke deinen Körper langsam wieder ab, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""vertikal"", ""close""]",2
Latzug am Kabelzug,Anfänger,Grundübung,Kabelzugmaschine,"[""Latissimus dorsi""]","[""Bizeps"", ""Rhomboideus""]","[""Setze dich an die Kabelzugmaschine und greife die Stange mit einem breiten Griff."", ""Ziehe die Stange zur Brust, indem du die Ellbogen nach unten und hinten ziehst."", ""Lasse die Stange kontrolliert wieder in die Ausgangsposition zurückkehren.""]","[""Rücken""]",[],"[""rücken"", ""vertikal"", ""close""]",3
T-Bar Rudern,Fortgeschritten,Grundübung,T-Bar Rudermaschine,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Stehe auf die Plattform der T-Bar Rudermaschine und greife die Griffe mit einem breiten Griff."", ""Ziehe die Griffe zu deinem unteren Brustbereich."", ""Lasse die Griffe langsam wieder nach unten gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""horizontal"", ""wide""]",1
Ruderzug Breit,Anfänger,Grundübung,Ruderzugmaschine,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Setze dich an die Ruderzugmaschine und greife die Griffe mit einem breiten Griff."", ""Ziehe die Griffe zu deinem unteren Brustbereich."", ""Lasse die Griffe langsam wieder nach vorne gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""horizontal"", ""wide""]",2
Ruderzug,Anfänger,Grundübung,Ruderzugmaschine,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Setze dich an die Ruderzugmaschine und greife die Griffe."", ""Ziehe die Griffe zu deinem unteren Brustbereich."", ""Lasse die Griffe langsam wieder nach vorne gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""horizontal"", ""close""]",1
Ruderzug Maschine,Anfänger,Grundübung,Ruderzugmaschine,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Setze dich an die Maschine und greife die Griffe."", ""Ziehe die Griffe zu deinem unteren Brustbereich."", ""Lasse die Griffe langsam wieder nach vorne gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""horizontal"", ""close""]",2
Ruderzug Langhantel,Fortgeschritten,Grundübung,Langhantel,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Stehe mit leicht gebeugten Knien und halte die Langhantel mit beiden Händen."", ""Beuge deinen Oberkörper leicht nach vorne."", ""Ziehe die Langhantel zu deinem unteren Brustbereich."", ""Lasse die Langhantel langsam wieder nach unten gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""horizontal"", ""close""]",5
Ruderzug am Kabelturm,Fortgeschritten,Grundübung,Kabelzugmaschine,"[""Latissimus dorsi"", ""Trapez""]","[""Bizeps""]","[""Positioniere dich vor den Kabelturm und greife den Griff."", ""Ziehe den Griff gestreckt zu deinem unteren Brustbereich."", ""Lasse den Griff langsam wieder nach vorne gleiten, bis dein Arm gestreckt ist.""]","[""Rücken""]",[],"[""rücken"", ""horizontal"", ""close""]",4
Ruderzug Kurzhantel,Anfänger,Grundübung,Kurzhantel,"[""Latissimus dorsi"", ""Rhomboideus""]","[""Bizeps"", ""Trapezius""]","[""Stelle dich in eine gebeugte Position mit einer Kurzhantel in einer Hand."", ""Ziehe die Kurzhantel zur Hüfte, indem du den Ellbogen nach hinten ziehst."", ""Lasse die Kurzhantel kontrolliert wieder nach unten sinken.""]","[""Rücken""]",[],"[""rücken"", ""horizontal"", ""close""]",3
Shrugs Kurzhantel,Anfänger,Isolation,Kurzhanteln,"[""Trapez""]",[],"[""Stehe aufrecht und halte in jeder Hand eine Kurzhantel."", ""Ziehe deine Schultern so hoch wie möglich zu deinen Ohren."", ""Senke die Schultern langsam wieder ab.""]","[""Rücken""]",[],"[""rücken"", ""nacken""]",1
Shrugs Langhantel,Anfänger,Isolation,Langhantel,"[""Trapez""]",[],"[""Stehe aufrecht und halte eine Langhantel vor deinem Körper."", ""Ziehe deine Schultern so hoch wie möglich zu deinen Ohren."", ""Senke die Schultern langsam wieder ab.""]","[""Rücken""]",[],"[""rücken"", ""nacken""]",2
Rückenstrecken,Anfänger,Isolation,Hyperextensionsbank,"[""Erector spinae""]","[""Gluteus""]","[""Lege dich auf die Hyperextensionsbank und hake deine Füße unter den Stützen ein."", ""Beuge deinen Oberkörper nach unten, bis er parallel zum Boden ist."", ""Strecke deinen Oberkörper wieder nach oben, bis er in einer Linie mit deinen Beinen ist.""]","[""Rücken""]",[],"[""rücken"", ""unterer rücken""]",1
Rückenstrecker Gerät,Anfänger,Isolation,Rückenstrecker-Maschine,"[""Erector spinae""]","[""Gluteus maximus""]","[""Setze dich in das Rückenstrecker-Gerät und lege die Füße auf die vorgesehenen Stützen."", ""Beuge den Oberkörper nach vorne und drücke dich dann mit den Rückenstreckern wieder auf."", ""Kehre kontrolliert in die Ausgangsposition zurück.""]","[""Rücken""]",[],"[""rücken"", ""unterer rücken""]",2
Kreuzheben,Experte,Grundübung,Langhantel,"[""Latissimus dorsi"", ""Erector spinae""]","[""Gluteus"", ""Beinbizeps"", ""Trapez""]","[""Stelle dich mit den Füßen schulterbreit auseinander vor eine Langhantel."", ""Beuge dich an den Hüften und greife die Langhantel mit beiden Händen."", ""Hebe die Langhantel an, indem du dich aufrichtest und die Hüften streckst."", ""Halte während der Ausführung ein Hohlkreuz."", ""Senke die Langhantel langsam wieder ab, bis sie den Boden berührt.""]","[""Rücken""]",[],"[""beine"", ""pull""]",1
Kreuzheben Kurzhantel,Anfänger,Grundübung,Kurzhanteln,"[""Latissimus dorsi"", ""Erector spinae""]","[""Gluteus"", ""Beinbizeps"", ""Trapez""]","[""Stelle dich mit den Füßen schulterbreit auseinander und halte eine Kurzhantel in jeder Hand."", ""Beuge dich an den Hüften und lasse die Kurzhanteln vor deinen Beinen nach unten gleiten."", ""Hebe die Kurzhanteln an, indem du dich aufrichtest und die Hüften streckst."", ""Halte während der Ausführung ein Hohlkreuz."", ""Senke die Kurzhanteln langsam wieder ab, bis sie fast den Boden berühren.""]","[""Rücken""]",[],"[""beine"", ""pull""]",3
Rumänisches Kreuzheben,Fortgeschritten,Grundübung,Langhantel,"[""Erector spinae"", ""Beinbizeps""]","[""Gluteus Maximus:"", ""Trapez""]","[""Stelle dich mit den Füßen schulterbreit auseinander vor eine Langhantel."", ""Beuge dich an den Hüften und greife die Langhantel mit beiden Händen."", ""Hebe die Langhantel an, indem du die Hüften streckst, aber halte deine Knie leicht gebeugt."", ""Senke die Langhantel langsam wieder ab, indem du die Hüften beugst und den Rücken gerade hältst.""]","[""Rücken""]",[],"[""beine"", ""pull""]",2
Kurzhantel Rumänisches Kreuzheben,Anfänger,Grundübung,Kurzhantel,"[""Erector spinae"", ""Beinbizeps""]","[""Gluteus Maximus:"", ""Trapez""]","[""Stehe aufrecht mit einer Kurzhantel in jeder Hand."", ""Beuge die Hüften nach hinten und senke die Kurzhanteln entlang der Beine."", ""Drücke die Hüften nach vorne, um wieder in die aufrechte Position zu gelangen.""]","[""Beine""]",[],"[""beine"", ""pull""]",3
Überzüge Kabelzug,Anfänger,Isolation,Kabelzugmaschine,"[""Latissimus dorsi""]","[""Brustmuskeln""]","[""Stelle dich vor eine Kabelzugmaschine und greife die Stange mit beiden Händen."", ""Ziehe die Stange mit gestreckten Armen nach unten, bis sie auf Höhe deiner Oberschenkel ist."", ""Lasse die Stange langsam wieder nach oben gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""adduktion""]",1
Überzüge Maschine,Anfänger,Isolation,Pullover-Maschine,"[""Latissimus dorsi""]","[""Brustmuskeln""]","[""Setze dich an die Pullover-Maschine und greife die Griffe."", ""Ziehe die Griffe mit gestreckten Armen nach unten, bis sie auf Höhe deiner Oberschenkel sind."", ""Lasse die Griffe langsam wieder nach oben gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""adduktion""]",2
Kniebeugen,Fortgeschritten,Grundübung,Langhantel,"[""Quadrizeps"", ""Gluteus maximus""]","[""Adduktoren"", ""Beinbeuger"", ""Erector spinae""]","[""Stehe schulterbreit mit einer Langhantel auf den Schultern."", ""Beuge die Knie und senke die Hüften, als würdest du dich hinsetzen."", ""Halte den Rücken gerade und die Knie hinter den Zehen."", ""Drücke dich explosiv nach oben, bis die Beine gestreckt sind."", ""Halte während der Ausführung ein leichtes Hohlkreuz.""]","[""Beine""]",[],"[""beine"", ""push""]",1
Beinpresse,Anfänger,Grundübung,Beinpresse-Maschine,"[""Quadrizeps"", ""Gluteus maximus""]","[""Adduktoren"", ""Beinbeuger""]","[""Setze dich in die Beinpresse-Maschine und platziere die Füße schulterbreit auf der Plattform."", ""Drücke die Plattform nach oben, bis die Beine gestreckt sind."", ""Beuge die Knie und senke die Plattform langsam ab, bis die Knie einen 90-Grad-Winkel bilden.""]","[""Beine""]",[],"[""beine"", ""push""]",3
